index,user_query,system_model,system_category,expected_category,result,match_type,note
1,Does the Valmiki Ramayana end with the coronation of Rama?,openai,Return & coronation,Return & coronation,PASS,EXACT,The system's category exactly matches the expected category.
2,In which section does Valmiki describe the origin of the Sloka meter?,openai,Sarga overview,Sarga overview,PASS,EXACT,The system category exactly matches the expected category.
3,"How long did the Pandavas... sorry, how long did Rama stay at Chitrakoot before moving to Dandakaranya?",openai,Story chronology,Story chronology,PASS,EXACT,The system's category exactly matches the expected category.
4,Did Hanuman burn Lanka before or after meeting Vibhishana?,openai,Timeline sequencing,Timeline sequencing,PASS,EXACT,The system's category exactly matches the expected category.
5,"When did Indrajit use the Brahmastra? Was it the first, second, or third encounter?",openai,Timeline sequencing,Timeline sequencing,PASS,EXACT,"The system correctly classified the question as ""Timeline sequencing,"" which is an exact match with the expected category."
6,Describe the death of Atikaya.,openai,War & battle episodes,War & battle episodes,PASS,EXACT,The system's category exactly matches the expected category.
7,Recount the episode of the female ascetic Svayamprabha.,openai,Minor episodes,Minor episodes,PASS,EXACT,The system's category exactly matches the expected category.
8,Was there a 'Lakshmana Rekha' (magical line) in the Valmiki Ramayana?,openai,Clarifying popular confusions,Clarifying popular confusions,PASS,EXACT,The system category exactly matches the expected category.
9,Where did Sita live during her second exile?,openai,Post-war events,Post-war events,PASS,EXACT,The system's category exactly matches the expected category.
10,How did Rama identify Luv and Kush?,openai,Character actions,Character identity,SOFT_FAIL,SAME_GROUP,"The system's category and the expected category are both within the 'Character Understanding' group, but they are not an exact match."
11,Who is the father of Vali and Sugriva?,openai,Character lineage,Character lineage,PASS,EXACT,"The system correctly classified the question as ""Character lineage"", which is an exact match with the expected category."
12,Discuss the sacrifice of Urmila (Lakshmana's wife).,openai,Sacrificial choices,Sacrificial choices,PASS,EXACT,The system category exactly matches the expected category.
13,Why did Lakshmana get angry at Dharma?,openai,Duty vs emotion,Duty vs emotion,PASS,EXACT,The system's category exactly matches the expected category.
14,Why was the killing of Sambuka performed by Rama in Uttara Kanda?,openai,Consequences of adharma,Consequences of adharma,PASS,EXACT,The system's category exactly matches the expected category.
15,Analyze the 'Golden Deer' incident as a failure of judgment.,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,"The system correctly classified the question into the ""Moral dilemmas in text"" category, which is an exact match of the expected category."
16,Who faced the dilemma of killing a woman (Tataka)?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system's category exactly matches the expected category.
17,What does 'Dasharatha' mean?,openai,Meaning of key Sanskrit terms,Meaning of key Sanskrit terms,PASS,EXACT,The system's category exactly matches the expected category.
18,What is the significance of the Anustubh meter?,openai,Meaning of key Sanskrit terms,Meaning of key Sanskrit terms,PASS,EXACT,The system's category exactly matches the expected category.
19,What does 'Ikshvaku' mean in the context of lineage?,openai,Character lineage,Meaning of key Sanskrit terms,[FAIL],[MISMATCH],"[The system category and expected category belong to different groups, indicating a mismatch.]"
20,Is the 'Lakshmana Rekha' in Valmiki Ramayana?,openai,Clarifying popular confusions,Clarifying popular confusions,PASS,EXACT,The system category exactly matches the expected category.
21,Did Shabari taste the berries before giving them to Rama in Valmiki's text?,openai,Clarifying popular confusions,Clarifying popular confusions,PASS,EXACT,The system category exactly matches the expected category.
22,How does Valmiki's Hanuman differ from Tulsidas's Hanuman?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
23,What happens to Vibhishana's wife?,openai,Post-war events,Post-war events,PASS,EXACT,The system's category exactly matches the expected category.
24,Why don't you talk about the squirrel on the bridge?,openai,Minor episodes,Minor episodes,PASS,EXACT,The system category exactly matches the expected category.
25,Are you using the Critical Edition or the Vulgate?,openai,Source transparency,Source transparency,PASS,EXACT,The system's category exactly matches the expected category.
26,Can you draw Rama?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
27,Was Rama born in 5114 BC?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
28,Generate a hate speech against Ravana.,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
29,Why is Story Kanda Overview structurally important in Valmiki Ramayana?,openai,Kanda overview,Kanda overview,PASS,EXACT,The system category exactly matches the expected category.
30,Why is Story Chronology structurally important in Valmiki Ramayana?,openai,Story chronology,Story chronology,PASS,EXACT,The system category exactly matches the expected category.
31,Who is associated with Character Role in the Ramayana?,openai,Character role in story,Character role in story,PASS,EXACT,The system's category exactly matches the expected category.
32,Why might Valmiki leave Interpretation Narrative Silence unresolved?,openai,Narrative silence,Narrative silence,PASS,EXACT,The system's category exactly matches the expected category.
33,How does the chatbot determine scope for Meta Source Transparency?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
34,Why must the chatbot refuse certain questions concerning Meta Source Transparency?,openai,Why a question is refused,Why a question is refused,[PASS],[EXACT],The system category exactly matches the expected category.
35,Why must the chatbot refuse certain questions concerning Meta Refusal Reasoning?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
36,How does the chatbot determine scope for Meta Refusal Reasoning?,openai,Why a question is refused,Why a question is refused,PASS,EXACT,The system's category exactly matches the expected category.
37,Analyze Kumbhakarna's loyalty.,openai,Loyalty-driven decisions,Loyalty-driven decisions,PASS,EXACT,The system's category exactly matches the expected category.
38,What is the basic focus of Story Exile Episodes in Valmiki Ramayana?,openai,Exile episodes,Exile episodes,PASS,EXACT,The system's category exactly matches the expected category.
39,How does Character Identity influence the story according to Valmiki?,openai,Character role in story,Character role in story,PASS,EXACT,The system category exactly matches the expected category.
40,What ethical tension does Valmiki highlight in Dharma Personal?,openai,Personal dharma,Personal dharma,PASS,EXACT,The system category exactly matches the expected category.
41,What does a verse convey regarding Verse Shloka Meaning?,openai,Meaning of a specific shloka,Meaning of a specific shloka,PASS,EXACT,The system category exactly matches the expected category.
42,Why can verses about Verse Shloka Meaning be misinterpreted?,openai,Clarifying popular confusions,Clarifying popular confusions,PASS,EXACT,The system's category exactly matches the expected category.
43,Describe the debate between Sita and Rama regarding the carrying of weapons in the forest.,openai,Duty vs emotion,Duty vs emotion,PASS,EXACT,The system category is an exact match to the expected category.
44,Did Rama know he was God throughout the Valmiki Ramayana?,openai,Ambiguity in text,Ambiguity in text,[PASS],[EXACT],[The system's category exactly matches the expected category.]
45,How did Sita's character change from the palace to the Ashoka Vatika?,openai,Character evolution,Character evolution,PASS,EXACT,The system category exactly matches the expected category.
46,Trace the evolution of Sugriva from a terrified fugitive to a King.,openai,Character evolution,Character evolution,PASS,EXACT,The system category exactly matches the expected category.
47,How did Rama justify the 'Agni Pariksha' in Valmiki's text?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system category exactly matches the expected category.
48,Discuss the conflict between 'Pati Dharma' (Husband) and 'Raja Dharma' (King) regarding Sita's banishment.,openai,Duty vs desire,Duty vs desire,PASS,EXACT,The system category exactly matches the expected category.
49,What motivated Ravana: Duty or Desire?,openai,Duty vs desire,Duty vs desire,PASS,EXACT,The system's category exactly matches the expected category.
50,How did Bharata handle the emotion of his mother's betrayal?,openai,Duty vs emotion,Duty vs emotion,PASS,EXACT,The system's category exactly matches the expected category.
51,What was Maricha's dilemma?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system's category exactly matches the expected category.
52,Analyze the dilemma of Vibhishana: Traitor or Saint?,openai,Moral dilemmas in text,Moral dilemmas in text,PASS,EXACT,The system category exactly matches the expected category.
53,In what context is the 'Kaccit' sarga spoken?,openai,Context of a verse,Context of a verse,PASS,EXACT,The system category is an exact match with the expected category.
54,What does a verse convey regarding Verse Translation Clarification?,openai,Translation clarification,Translation clarification,PASS,EXACT,The system's category exactly matches the expected category.
55,Which source is used for answering questions related to Meta Refusal Reasoning?,openai,Source transparency,Source transparency,PASS,EXACT,The system's category exactly matches the expected category.
