#,Category,Answerability,Reason,5 Example Question Intents,Question Category Label,Revised Answerability (Data-backed)
1,Epic overview,Answer,Canonical narrative,"full epic summary, main storyline, ramayana outline, epic structure, core plot",epic_overview,Answer
2,Kanda overview,Answer,Canonical structure,"bala kanda summary, ayodhya kanda overview, aranya kanda plot, sundara kanda events, yuddha kanda outline",kanda_overview,Answer
3,Story chronology,Answer,Text-grounded,"event order, timeline sequence, what happened first, chronological flow, story progression",story_chronology,Answer
4,Timeline sequencing,Answer,Factual narrative,"event sequence, before-after events, parallel timelines, time gaps, sequence clarification",timeline_sequencing,Answer
5,Cause–effect relationships,Answer,Textual causality,"why exile happened, cause of war, consequence of vow, chain reactions, triggering events",cause_effect,Answer
6,Major plot turning points,Answer,Canonical events,"key moments, story pivots, decisive events, narrative shifts, major decisions",plot_turning_points,Answer
7,Minor plot developments,Answer,Canonical detail,"side events, minor arcs, secondary plots, supporting episodes, small developments",minor_plot,Answer
8,Narrative setup events,Answer,Story foundation,"initial conflicts, setup phase, background events, early motivations, premise building",narrative_setup,Answer
9,Climactic events,Answer,Canonical climax,"war climax, decisive battle, final confrontation, peak conflict, turning climax",climactic_events,Answer
10,Resolution events,Answer,Textual closure,"war aftermath, story resolution, closure events, consequences shown, ending sequence",resolution_events,Answer
11,Flashback narratives,Answer,Textual narrative device,"past events recall, backstory narration, character history, earlier incidents, remembered episodes",flashback_narrative,Answer
12,Foreshadowing elements,Answer,Literary analysis,"early hints, symbolic warnings, prophetic signs, narrative foreshadowing, future signals",foreshadowing,Answer
13,Narrative pacing,Answer,Literary structure,"slow vs fast sections, pacing variation, narrative tempo, time compression, elongated scenes",narrative_pacing,Answer
14,Story arcs,Answer,Structural analysis,"character arcs, plot arcs, transformation arcs, journey structure, arc completion",story_arcs,Answer
15,Episodic storytelling,Answer,Canonical form,"episodic flow, standalone episodes, segmented narration, episode transitions, narrative blocks",episodic_story,Answer
16,Frame narratives,Answer,Textual structure,"narrator framing, layered narration, storytelling context, sage narration, transmission frame",frame_narrative,Answer
17,Narrative omissions,Answer,Honest textual limits,"missing details, silent gaps, unstated events, unexplained transitions, narrative silence",narrative_omission,Answer
18,Narrative transitions,Answer,Textual flow,"location shifts, scene changes, time jumps, phase transitions, narrative movement",narrative_transition,Answer
19,Parallel storylines,Answer,Canonical structure,"multiple arcs, parallel journeys, simultaneous events, intersecting stories, dual narratives",parallel_story,Answer
20,Repeated motifs,Answer,Literary motif,"exile motif, loyalty theme, trial repetition, vow patterns, symbolic repetition",repeated_motif,Answer
21,Story symmetry,Answer,Structural pattern,"mirrored events, cyclical structure, narrative balance, repeated outcomes, symmetry",story_symmetry,Answer
22,Narrative contrasts,Answer,Literary analysis,"city vs forest, duty vs desire, power vs restraint, light vs darkness, moral contrast",narrative_contrast,Answer
23,Story continuity,Answer,Canonical consistency,"continuity check, event consistency, narrative coherence, internal logic, plot alignment",story_continuity,Answer
24,Narrative inconsistencies,Answer with Constraints,Acknowledge ambiguity,"conflicting details, variation explanation, inconsistency handling, text variance, editorial issues",narrative_inconsistency,Answer
25,Canonical story boundaries,Answer,Scope definition,"where ramayana starts, where it ends, canonical limits, epic boundary, text scope",canonical_boundary,Answer
26,Birth-related episodes,Answer,Canonical event,"divine birth, birth stories, lineage origin, incarnation events, prophecy fulfillment",birth_episode,Answer
27,Exile-related episodes,Answer,Canonical event,"exile decision, forest departure, banishment details, reasons for exile, exile duration",exile_episode,Answer
28,Forest life episodes,Answer,Narrative content,"forest dwelling, hermitage life, encounters in forest, exile experiences, ascetic interaction",forest_episode,Answer
29,Abduction-related episodes,Answer,Canonical event,"kidnapping narrative, deception methods, turning point, violation moment, abduction cause",abduction_episode,Answer
30,Search journey episodes,Answer,Canonical arc,"search for sita, exploration phase, allies formation, journey hardships, discovery attempts",search_episode,Answer
31,Alliance formation episodes,Answer,Canonical politics,"alliances built, monkey army, treaties formed, cooperation events, strategic bonds",alliance_episode,Answer
32,Trial or test episodes,Answer,Narrative device,"tests of virtue, loyalty trials, skill challenges, moral tests, worthiness checks",trial_episode,Answer
33,Revelation episodes,Answer,Canonical disclosure,"identity reveal, truth disclosure, realization moments, secret revealed, recognition scenes",revelation_episode,Answer
34,Conflict initiation episodes,Answer,Canonical causality,"war trigger, dispute escalation, hostility start, challenge declaration, confrontation setup",conflict_initiation,Answer
35,Duel episodes,Answer,Canonical combat,"one-on-one battles, champion duels, personal combat, decisive duels, warrior confrontations",duel_episode,Answer
36,War strategy episodes,Answer,Descriptive only,"tactics used, strategic planning, battlefield decisions, formations, military counsel",war_strategy,Answer
37,Battle episodes,Answer,Canonical event,"major battles, combat descriptions, army clashes, war phases, battlefield outcomes",battle_episode,Answer
38,Death episodes,Answer,Canonical event,"deaths of characters, final moments, causes of death, narrative significance, aftermath",death_episode,Answer
39,Rescue episodes,Answer,Canonical event,"rescue actions, liberation moments, saving characters, recovery efforts, intervention",rescue_episode,Answer
40,Return episodes,Answer,Canonical closure,"return journey, homecoming, reintegration, restoration, post-exile return",return_episode,Answer
41,Coronation episodes,Answer,Canonical ritual,"coronation ceremony, kingship assumption, royal transition, enthronement, rule beginning",coronation_episode,Answer
42,Post-war episodes,Answer,Canonical aftermath,"post-conflict order, restoration, reconciliation, aftermath events, peace phase",postwar_episode,Answer
43,Moral trial episodes,Answer,Textual ethics,"tests of virtue, moral scrutiny, ethical examination, public trial moments, judgment scenes",moral_trial,Answer
44,Divine intervention episodes,Answer,Canonical belief,"divine aid, supernatural events, godly assistance, miraculous acts, divine signs",divine_intervention,Answer
45,Closure episodes,Answer,Narrative completion,"endings, final resolutions, life conclusions, closure arcs, last events",closure_episode,Answer
46,Protagonist identity,Answer,Canonical role,"main hero identity, central figure, narrative focus, protagonist definition, hero role",protagonist_identity,Answer
47,Antagonist identity,Answer,Canonical role,"main adversary, villain role, opposition figure, antagonist purpose, conflict source",antagonist_identity,Answer
48,Supporting character identity,Answer,Canonical role,"supporting cast roles, secondary characters, helper figures, minor roles, allies",supporting_identity,Answer
49,Divine character identity,Answer,Canonical theology,"divine figures, incarnations, gods’ roles, celestial beings, divine presence",divine_identity,Answer
50,Human vs divine role,Answer with Constraints,Interpretive tension,"divinity vs humanity, avatar question, human traits, divine agency, dual nature",human_divine_role,Answer
51,Character lineage,Answer,Canonical genealogy,"ancestry, family line, dynastic origin, parentage, heritage",character_lineage,Answer
52,Character titles & epithets,Answer,Textual reference,"honorifics, names used, titles meaning, epithets context, naming conventions",character_titles,Answer
53,Character social role,Answer,Canonical context,"societal position, caste role, community standing, social duty, hierarchy",social_role,Answer
54,Character political role,Answer,Canonical governance,"kingly role, political authority, ruler duties, leadership role, governance",political_role,Do Not Answer
55,Character familial role,Answer,Canonical relationship,"son role, brother role, spouse role, parental role, family obligation",familial_role,Answer
56,Character narrative function,Answer,Literary role,"catalyst role, foil role, messenger role, moral anchor, narrative driver",narrative_function,Answer
57,Character symbolic role,Answer with Constraints,Interpretive,"symbolism attribution, archetypal role, allegorical reading, representational meaning, symbolic status",symbolic_role,Answer with Constraints
58,Character evolution,Answer,Textual progression,"character change, growth arc, transformation, development over time, arc progression",character_evolution,Answer
59,Static character roles,Answer,Canonical depiction,"unchanging traits, consistent behavior, fixed archetypes, stable identity, constancy",static_character,Answer
60,Dynamic character roles,Answer,Canonical progression,"evolving behavior, role shifts, changing responsibilities, adaptive identity, development",dynamic_character,Answer
61,Motivation for action,Answer,Text-based inference,"reason for action, decision motive, why acted, driving cause, intent behind act",motivation_action,Answer
62,Motivation for inaction,Answer,Textual silence + inference,"why did not act, restraint reason, silence cause, non-action motive, withheld response",motivation_inaction,Answer
63,Moral decision drivers,Answer,Dharma framework,"moral choice basis, ethical driver, duty influence, value-based choice, righteousness motive",moral_decision,Answer
64,Emotional restraint decisions,Answer,Textual behavior,"controlled emotion, restraint choice, calm response, suppressed feeling, composure",emotional_restraint,Answer
65,Desire-driven decisions,Answer,Canonical cause,"desire influence, temptation effect, longing-based act, craving motive, wish fulfillment",desire_driven,Answer
66,Fear-driven decisions,Answer,Textual cause,"fear influence, threat response, avoidance motive, insecurity-driven act, danger reaction",fear_driven,Answer
67,Duty-driven decisions,Answer,Central theme,"duty priority, dharma-driven act, obligation choice, vow fulfillment, responsibility",duty_driven,Answer
68,Power-driven decisions,Answer,Canonical motive,"authority use, dominance motive, control-based act, power assertion, rule enforcement",power_driven,Answer
69,Loyalty-driven decisions,Answer,Canonical virtue,"loyalty choice, allegiance motive, devotion-based act, fidelity, faithfulness",loyalty_driven,Answer
70,Ego-driven decisions,Answer,Textual flaw,"pride motive, ego influence, arrogance-based act, self-importance, hubris",ego_driven,Answer
71,Revenge motivations,Answer,Canonical conflict,"vengeance motive, retaliation, revenge trigger, retribution intent, grievance response",revenge_motive,Answer
72,Compassion-based decisions,Answer,Canonical virtue,"mercy act, compassion motive, kindness decision, empathy-based choice, forgiveness",compassion_decision,Answer
73,Strategic decisions,Answer,Descriptive only,"strategy choice, tactical move, planning decision, calculated act, foresight",strategic_decision,Answer
74,Sacrificial choices,Answer,Canonical value,"self-sacrifice, renunciation act, loss acceptance, giving up power, personal cost",sacrifice_choice,Answer
75,Obedience-based decisions,Answer,Textual obedience,"obedience act, command following, authority compliance, parental command, rule adherence",obedience_decision,Answer
76,Conflicted motivations,Answer with Constraints,Ambiguity,"mixed motives, internal conflict, competing duties, tension in choice, dilemma",conflicted_motivation,Answer
77,Impulsive decisions,Answer,Narrative behavior,"sudden action, rash decision, unplanned act, impulse response, quick reaction",impulsive_decision,Answer
78,Calculated decisions,Answer,Strategic reasoning,"deliberate act, planned decision, forethought, measured response, reasoning",calculated_decision,Answer
79,Regret-driven decisions,Answer,Textual aftermath,"remorse action, regret response, corrective act, repentance motive, guilt",regret_driven,Answer
80,Consequences of decisions,Answer,Textual causality,"outcome of choice, repercussions, effects of action, result chain, consequences",decision_consequence,Answer
81,Moral qualities,Answer,Canonical traits,"virtue description, moral nature, ethical quality, righteousness traits, integrity",moral_quality,Answer
82,Ethical qualities,Answer,Canonical traits,"ethical conduct, fairness, justice orientation, moral balance, principled behavior",ethical_quality,Answer
83,Emotional traits,Answer,Behavioral reading,"emotional disposition, temperament, sensitivity, emotional control, expression",emotional_trait,Answer
84,Intellectual traits,Answer,Canonical depiction,"wisdom, intelligence, learning, strategic thinking, knowledge",intellectual_trait,Answer
85,Leadership traits,Answer,Canonical role,"leadership quality, ruler traits, command style, governance approach, authority",leadership_trait,Answer
86,Warrior qualities,Answer,Canonical role,"bravery, combat skill, valor, martial ability, heroism",warrior_quality,Answer
87,Devotional qualities,Answer,Canonical virtue,"devotion, faithfulness, service attitude, reverence, dedication",devotional_quality,Answer
88,Ascetic qualities,Answer,Canonical lifestyle,"austerity, restraint, discipline, renunciation, simplicity",ascetic_quality,Answer
89,Royal qualities,Answer,Canonical kingship,"kingly virtues, royal conduct, rulership ideals, sovereignty traits, majesty",royal_quality,Answer
90,Parental qualities,Answer,Canonical role,"parental duty, care behavior, fatherhood, motherhood, guardianship",parental_quality,Answer
91,Spousal qualities,Answer,Canonical role,"marital duty, fidelity, partnership, spousal conduct, loyalty",spousal_quality,Answer
92,Friendship qualities,Answer,Canonical theme,"friendship traits, alliance loyalty, companionship, mutual support, trust",friendship_quality,Answer
93,Strengths,Answer,Textual depiction,"abilities, advantages, strong traits, competencies, talents",character_strength,Answer
94,Weaknesses,Answer,Textual flaw,"limitations, vulnerabilities, flaws, shortcomings, failures",character_weakness,Answer
95,Virtues,Answer,Canonical values,"virtue listing, moral excellence, ideal traits, goodness, nobility",virtue,Answer
96,Flaws,Answer,Canonical realism,"moral flaws, errors, imperfections, mistakes, human limits",flaw,Answer
97,Inner conflicts,Answer with Constraints,Interpretive,"inner struggle, moral tension, conflicting impulses, doubt, hesitation",inner_conflict,Answer with Constraints
98,Consistency of character,Answer,Textual analysis,"behavioral consistency, character stability, trait continuity, reliability",character_consistency,Answer
99,Contradictory traits,Answer with Constraints,Interpretive,"conflicting traits, paradoxical behavior, dual nature, inconsistency",contradictory_trait,Answer
100,Transformation of traits,Answer,Narrative arc,"change in traits, growth, moral evolution, development, maturation",trait_transformation,Answer
101,Spousal relationships,Answer,Canonical relation,"marriage bond, husband-wife dynamic, conjugal duty, partnership",spousal_relationship,Answer
102,Sibling relationships,Answer,Canonical relation,"brotherhood, sibling loyalty, rivalry, familial bond, support",sibling_relationship,Answer
103,Parent–child relationships,Answer,Canonical relation,"filial duty, parental authority, obedience, affection, lineage bond",parent_child,Answer
104,Mentor–disciple relationships,Answer,Canonical teaching,"guidance bond, instruction role, teacher-student, counsel",mentor_disciple,Answer
105,Ally relationships,Answer,Canonical alliance,"cooperation bond, alliance trust, partnership, support network",ally_relationship,Answer
106,Rival relationships,Answer,Canonical conflict,"rivalry dynamic, competition, opposition tension, adversarial relation",rival_relationship,Answer
107,Enemy relationships,Answer,Canonical conflict,"hostility bond, enmity, war relation, antagonism",enemy_relationship,Answer
108,Loyalty dynamics,Answer,Canonical virtue,"loyalty testing, allegiance strength, faithfulness dynamics, trust",loyalty_dynamics,Answer
109,Betrayal dynamics,Answer,Canonical breach,"betrayal act, broken trust, disloyalty, treachery",betrayal_dynamics,Answer
110,Power dynamics,Answer,Descriptive,"authority imbalance, dominance relations, control structure, hierarchy",power_dynamics,Answer
111,Dependency dynamics,Answer,Canonical reliance,"reliance relationships, dependence, support dependency, need-based bond",dependency_dynamics,Answer
112,Emotional bonds,Answer,Canonical affection,"emotional connection, attachment, affection bond, closeness",emotional_bond,Answer
113,Duty-based relationships,Answer,Canonical role,"obligation-based bond, role duty, responsibility relation",duty_relationship,Answer
114,Political alliances,Answer,Canonical politics,"inter-kingdom ties, diplomatic bonds, treaties, alliances",political_alliance,Do Not Answer
115,Familial conflicts,Answer,Canonical tension,"family disputes, domestic conflict, inheritance tension, rivalry",familial_conflict,Answer
116,Hierarchical relationships,Answer,Canonical order,"authority ladder, rank relations, command structure, hierarchy",hierarchical_relation,Answer
