user_query,expanded_query,classification,template,Expected_Depth,openai_final_answer,claude_final_answer,openai_retrieved_shlokas_count,openai_retrieved_shlokas_ids,claude_retrieved_shlokas_count,claude_retrieved_shlokas_ids
Who is the primary author of the Ramayana within the text itself?,"The primary author of the Ramayana within the text itself is Sage Valmiki, who is regarded as the Adi Kavi (first poet) and composed the epic in Sanskrit.",Character identity,T1,Fact: Maharishi Valmiki.,"The primary author of the Ramayana within the text is the sage Valmiki. Valmiki, described as a great intellectual and divine sage, composed the entire epic, including the Ramayana's twenty-four thousand verses, and six kandas along with the Uttarakanda. He visualized the story of Rama and composed it as related by the sage Narada.","According to the Ramayana text, the primary author of the epic is the sage Valmiki. The text states that Valmiki ""composed the entire history of Rama"" (Bala Kanda 1.4.1), including ""events yet to happen on this earth in the history of Rama in Uttarakanda"" (Bala Kanda 1.3.38). Valmiki is described as a ""divine sage"" (Bala Kanda 1.3.7, 1.4.6) who ""composed the Ramayana in twenty-four thousand verses in six kandas and also Uttarakanda"" (Bala Kanda 1.4.2).",15,"bala-kanda-4-3, bala-kanda-4-1, bala-kanda-2-41, bala-kanda-3-38, bala-kanda-4-2, bala-kanda-2-42, bala-kanda-3-7, bala-kanda-3-8, bala-kanda-4-7, bala-kanda-31-24, bala-kanda-27-26, bala-kanda-4-6, bala-kanda-3-9, bala-kanda-1-61, bala-kanda-34-23",15,"bala-kanda-4-3, bala-kanda-4-1, bala-kanda-2-41, bala-kanda-3-38, bala-kanda-4-2, bala-kanda-2-42, bala-kanda-3-7, bala-kanda-3-8, bala-kanda-4-7, bala-kanda-31-24, bala-kanda-27-26, bala-kanda-4-6, bala-kanda-3-9, bala-kanda-1-61, bala-kanda-34-23"
What is the name of the first Kanda in Valmiki Ramayana?,"The first Kanda in Valmiki Ramayana is called ""Bala Kanda,"" which narrates the childhood and early life of Lord Rama, including his birth and the events leading to his marriage with Sita.",Kanda overview,T1,Fact: Bala Kanda.,"The first Kanda in Valmiki's Ramayana is named Bala Kanda. This is confirmed by multiple references within the cited text where different events and sargas are specifically noted to be part of 'Balakanda,' such as 'Thus ends the third sarga of Balakanda of the holy Ramayana' in [Bala Kanda 3.38] and similar references in other citations.","The name of the first Kanda in Valmiki's Ramayana is ""Balakanda."" This is evident from multiple references throughout the citations provided, such as the description in ""Bala Kanda 27.26"" which explicitly ends with ""Thus ends the twentyseventh sarga of Balakanda of the holy Ramayana the first epic composed by sage Valmiki."" The naming is consistent with other citations that conclude with similar phrases, confirming the Kanda's identity.",30,"bala-kanda-3-24, bala-kanda-27-26, bala-kanda-1-24, bala-kanda-1-62, bala-kanda-3-11, bala-kanda-23-22, bala-kanda-1-34, bala-kanda-1-17, bala-kanda-1-59, bala-kanda-1-61, bala-kanda-4-7, bala-kanda-76-24, bala-kanda-22-6, bala-kanda-66-26, bala-kanda-36-27, bala-kanda-3-16, bala-kanda-3-7, bala-kanda-67-22, bala-kanda-3-38, bala-kanda-71-20, bala-kanda-50-23, bala-kanda-1-23, bala-kanda-4-1, bala-kanda-1-27, bala-kanda-1-81, bala-kanda-17-35, bala-kanda-1-82, bala-kanda-10-31, bala-kanda-3-8, bala-kanda-66-1",30,"bala-kanda-3-24, bala-kanda-27-26, bala-kanda-1-24, bala-kanda-1-62, bala-kanda-3-11, bala-kanda-23-22, bala-kanda-1-34, bala-kanda-1-17, bala-kanda-1-59, bala-kanda-1-61, bala-kanda-4-7, bala-kanda-76-24, bala-kanda-22-6, bala-kanda-66-26, bala-kanda-36-27, bala-kanda-3-16, bala-kanda-3-7, bala-kanda-67-22, bala-kanda-3-38, bala-kanda-71-20, bala-kanda-50-23, bala-kanda-1-23, bala-kanda-4-1, bala-kanda-1-27, bala-kanda-17-35, bala-kanda-1-81, bala-kanda-1-82, bala-kanda-10-31, bala-kanda-3-8, bala-kanda-66-1"
Does the Valmiki Ramayana end with the coronation of Rama?,"Yes, the Valmiki Ramayana concludes with the coronation of Lord Rama as the king of Ayodhya, marking the restoration of dharma and order after his exile and the defeat of Ravana. Uttara Kanda.",Return & coronation,T1,"Structure: No, it continues to the Uttara Kanda, which covers Sita's abandonment, the birth of Luv and Kush, and Rama's final departure.","The Valmiki Ramayana does not explicitly end with the coronation of Rama. The provided citations do not mention Rama's coronation as the concluding event of the epic. The text refers to Rama fulfilling his exile and returning to the throne, as indicated in Ayodhya Kanda 25.43. Furthermore, Ayodhya Kanda 52.91 mentions plans for Rama to reenter Ayodhya after completing his exile, but it does not specify that this marks the epic's conclusion.","The Valmiki Ramayana does not end with the coronation of Rama. While there are multiple references to Rama's eventual coronation and return to Ayodhya, the text does not state that the epic concludes with this event. The Ramayana continues beyond Rama's return from exile, describing his reunification with his wife Sita and the subsequent war against the demon king Ravana.",25,"ayodhya-kanda-25-43, ayodhya-kanda-100-76, ayodhya-kanda-67-38, sundara-kanda-51-10, ayodhya-kanda-99-42, ayodhya-kanda-116-26, ayodhya-kanda-82-32, bala-kanda-11-25, ayodhya-kanda-26-2, ayodhya-kanda-106-35, sundara-kanda-58-139, ayodhya-kanda-6-28, ayodhya-kanda-52-91, ayodhya-kanda-94-19, ayodhya-kanda-14-68, ayodhya-kanda-83-26, ayodhya-kanda-64-72, bala-kanda-27-26, yuddha-kanda-4-45, ayodhya-kanda-20-55, ayodhya-kanda-41-21, ayodhya-kanda-19-40, ayodhya-kanda-3-48, ayodhya-kanda-36-33, ayodhya-kanda-50-3",25,"ayodhya-kanda-100-76, ayodhya-kanda-67-38, ayodhya-kanda-25-43, sundara-kanda-51-10, bala-kanda-11-25, ayodhya-kanda-82-32, ayodhya-kanda-99-42, ayodhya-kanda-6-28, ayodhya-kanda-8-22, ayodhya-kanda-106-35, ayodhya-kanda-3-48, yuddha-kanda-120-29, sundara-kanda-58-139, ayodhya-kanda-116-26, yuddha-kanda-4-45, ayodhya-kanda-41-21, ayodhya-kanda-26-2, kishkindha-kanda-9-21, ayodhya-kanda-11-24, ayodhya-kanda-36-33, bala-kanda-27-26, ayodhya-kanda-94-19, ayodhya-kanda-5-12, bala-kanda-6-28, ayodhya-kanda-58-1"
In which Kanda does the search for Sita begin in earnest?,"The search for Sita begins in earnest in the Aranya Kanda, where Rama and Lakshmana, after meeting with various sages, intensify their efforts to locate Sita following her abduction by Ravana.",Search journey episodes,T1,Fact: Kishkindha Kanda (formation of alliances) and Sundara Kanda (Hanuman's search).,"The search for Sita begins in earnest in the Kishkindha Kanda. The vanaras are instructed by Sugriva to look for Sita in various locations such as forests, mountains, and flowing rivers (Kishkindha Kanda 40.24). The search encompasses a wide area, including the cities of Murachi, Jata, Avanti, and Angalopa, as well as vast kingdoms and obscure forests (Kishkindha Kanda 42.12-13). Sugriva coordinates the efforts to fulfill Rama's objective of finding Sita (Kishkindha Kanda 45.1).","The earnest search for Sita begins in the Kishkindha Kanda. Several passages outline the comprehensive search efforts by the vanaras under Sugriva’s command, which specify a thorough investigation of regions such as mountains, forests, and various riverbanks. The instructions by Sugriva and the subsequent actions by the vanaras emphasize that this concerted search initiative is a significant part of the Kishkindha Kanda.",30,"kishkindha-kanda-40-24, kishkindha-kanda-42-14, kishkindha-kanda-41-10, kishkindha-kanda-41-8, aranya-kanda-64-14, kishkindha-kanda-42-13, kishkindha-kanda-42-12, kishkindha-kanda-41-12, kishkindha-kanda-41-9, kishkindha-kanda-40-19, aranya-kanda-65-12, sundara-kanda-2-47, kishkindha-kanda-45-1, kishkindha-kanda-41-11, aranya-kanda-72-25, yuddha-kanda-47-10, kishkindha-kanda-49-2, aranya-kanda-72-26, kishkindha-kanda-48-16, sundara-kanda-12-17, sundara-kanda-11-47, aranya-kanda-64-3, kishkindha-kanda-43-19, kishkindha-kanda-40-23, yuddha-kanda-12-12, kishkindha-kanda-40-21, sundara-kanda-63-14, sundara-kanda-11-44, sundara-kanda-51-9, yuddha-kanda-129-34",30,"kishkindha-kanda-40-24, kishkindha-kanda-42-14, kishkindha-kanda-41-10, kishkindha-kanda-41-8, kishkindha-kanda-42-13, aranya-kanda-64-14, kishkindha-kanda-42-12, kishkindha-kanda-41-12, kishkindha-kanda-41-9, kishkindha-kanda-40-19, kishkindha-kanda-41-11, kishkindha-kanda-49-2, sundara-kanda-2-47, aranya-kanda-65-12, kishkindha-kanda-45-1, aranya-kanda-72-25, yuddha-kanda-47-10, kishkindha-kanda-40-23, aranya-kanda-72-26, kishkindha-kanda-40-21, kishkindha-kanda-48-16, kishkindha-kanda-49-3, aranya-kanda-64-3, sundara-kanda-13-52, sundara-kanda-11-47, sundara-kanda-11-44, sundara-kanda-51-9, kishkindha-kanda-40-20, kishkindha-kanda-43-19, sundara-kanda-13-3"
What is the primary setting of the Aranya Kanda?,"The primary setting of the Aranya Kanda is the Dandaka forest, where Rama, Sita, and Lakshmana encounter various sages, demons, and challenges during their exile. This section highlights themes of wilderness and the trials faced in nature.",Kanda overview,T1,Setting: The Dandaka Forest and the hermitages within it.,"The primary setting of the Aranya Kanda is the Dandaka forest, which is characterized as a great and impenetrable forest. Rama, accompanied by Sita and Lakshmana, enters this forest and encounters various hermitages of ascetics. The forest is described as being dense, filled with a multitude of animals like bears and tigers, and resounds with the sounds of different birds and insects.","The primary setting of the Aranya Kanda is the Dandaka forest. According to the text, Rama, Sita, and Lakshmana ""entered the impenetrable Dandaka forest"" (Aranya Kanda 42.11) and traveled through a dense forest ""filled with herds of animals and inhabited by bears and tigers"" (Aranya Kanda 2.2-2.3). The forest is described as having ""trees, creepers, and bushes crushed by frequent visits of demons"" (Aranya Kanda 2.2) and being difficult to navigate due to the lack of visible water sources.",30,"aranya-kanda-1-1, aranya-kanda-2-2, aranya-kanda-2-3, aranya-kanda-34-2, aranya-kanda-1-14, aranya-kanda-13-23, aranya-kanda-46-37, aranya-kanda-73-30, aranya-kanda-12-18, aranya-kanda-14-35, bala-kanda-51-25, bala-kanda-51-23, bala-kanda-51-22, bala-kanda-51-26, aranya-kanda-42-11, aranya-kanda-2-1, aranya-kanda-12-20, sundara-kanda-1-153, ayodhya-kanda-54-41, ayodhya-kanda-72-42, yuddha-kanda-129-34, aranya-kanda-20-7, bala-kanda-51-27, aranya-kanda-60-36, bala-kanda-51-24, aranya-kanda-61-17, aranya-kanda-7-3, aranya-kanda-57-9, kishkindha-kanda-52-4, aranya-kanda-68-38",30,"aranya-kanda-1-1, aranya-kanda-34-2, aranya-kanda-2-2, aranya-kanda-2-3, aranya-kanda-1-14, aranya-kanda-13-23, aranya-kanda-46-37, aranya-kanda-14-35, bala-kanda-51-25, yuddha-kanda-129-34, bala-kanda-51-23, bala-kanda-51-22, aranya-kanda-42-11, bala-kanda-51-26, aranya-kanda-2-1, ayodhya-kanda-72-42, sundara-kanda-1-153, aranya-kanda-12-18, aranya-kanda-73-30, aranya-kanda-60-36, aranya-kanda-15-31, aranya-kanda-7-3, ayodhya-kanda-54-2, aranya-kanda-20-7, bala-kanda-51-27, ayodhya-kanda-54-41, bala-kanda-51-24, kishkindha-kanda-52-4, aranya-kanda-68-38, aranya-kanda-12-16"
Identify the Kanda where Rama describes the geography of India from the Pushpaka Vimana.,"Rama describes the geography of India from the Pushpaka Vimana in the Uttara Kanda, where he surveys the land after returning to Ayodhya.",Kanda overview,T1,Specific: Yuddha Kanda (during the return journey).,"The geography of India as described by Rama from the Pushpaka Vimana occurs in the Yuddha Kanda. Rama, after ascending the Pushpaka Vimana, describes various regions he sees below, including notable mountains and rivers.","The description of India’s geography by Rama from the Pushpaka Vimana occurs in the Yuddha Kanda. After the end of the war, Rama boards the Pushpaka Vimana along with Sita and others to return to Ayodhya. As they travel back, Rama provides a detailed commentary to Sita about the various landscapes they pass over. This scene occurs during their aerial journey when they are admiring the sights from above.",30,"yuddha-kanda-126-37, ayodhya-kanda-17-2, ayodhya-kanda-17-17, ayodhya-kanda-54-2, yuddha-kanda-130-37, yuddha-kanda-131-27, ayodhya-kanda-17-18, ayodhya-kanda-17-19, bala-kanda-1-86, ayodhya-kanda-5-15, ayodhya-kanda-54-3, yuddha-kanda-22-25, yuddha-kanda-130-36, yuddha-kanda-128-1, ayodhya-kanda-46-34, yuddha-kanda-130-59, bala-kanda-51-25, ayodhya-kanda-56-13, bala-kanda-51-23, ayodhya-kanda-49-3, bala-kanda-32-8, bala-kanda-51-22, ayodhya-kanda-95-19, yuddha-kanda-125-1, kishkindha-kanda-46-1, yuddha-kanda-130-38, yuddha-kanda-124-23, bala-kanda-1-34, ayodhya-kanda-15-45, bala-kanda-1-88",30,"yuddha-kanda-126-37, yuddha-kanda-130-37, ayodhya-kanda-17-2, ayodhya-kanda-17-17, yuddha-kanda-131-27, ayodhya-kanda-17-18, ayodhya-kanda-17-19, ayodhya-kanda-54-2, yuddha-kanda-130-59, yuddha-kanda-130-36, bala-kanda-1-86, yuddha-kanda-130-38, yuddha-kanda-125-1, yuddha-kanda-130-58, yuddha-kanda-22-25, yuddha-kanda-124-23, ayodhya-kanda-5-15, yuddha-kanda-128-1, yuddha-kanda-40-1, bala-kanda-51-25, bala-kanda-51-23, ayodhya-kanda-56-13, ayodhya-kanda-46-34, bala-kanda-51-22, ayodhya-kanda-54-3, yuddha-kanda-41-32, bala-kanda-51-26, bala-kanda-1-34, yuddha-kanda-41-31, kishkindha-kanda-46-1"
What happens in the 'Samkshipita Ramayana' (First Sarga)?,"The 'Samkshipita Ramayana' (First Sarga) provides a concise summary of the Ramayana's key events, including the birth of Lord Rama, his exile, and the abduction of Sita by Ravana, setting the stage for the epic's central conflict.",Sarga overview,T1,Summary: Narada narrates the entire story of Rama in brief to Valmiki.,"The 'Samkshipita Ramayana' in the First Sarga of Balakanda provides a summary of key events in the epic. It mentions that Rama is beloved and his wife Sita follows him like Rohini follows the Moon. The narrative includes Rama's banishment to the forest due to Dasaratha's word, the exile of Sita and Lakshmana, and Sita's abduction. It also covers Rama's subsequent alliance with Sugriva and Hanuman.","The 'Samkshipita Ramayana' in the first sarga of the Bala Kanda gives an overview of events that span the entire epic. It includes the banishment of Rama by Dasaratha, staying true to his word (Bala Kanda 1.23), and mentions the beloved relationship between Rama and Sita, highlighting her virtues (Bala Kanda 1.26-1.27). This sarga sets the stage for the events of the Ramayana by summarizing key points like Sita's birth and her significance in the epic narrative.",20,"sundara-kanda-22-46, bala-kanda-1-59, sundara-kanda-65-1, sundara-kanda-65-2, kishkindha-kanda-55-22, sundara-kanda-19-23, kishkindha-kanda-55-21, ayodhya-kanda-33-30, kishkindha-kanda-40-70, sundara-kanda-18-32, ayodhya-kanda-75-4, sundara-kanda-65-3, bala-kanda-1-23, ayodhya-kanda-27-23, bala-kanda-70-29, bala-kanda-1-27, yuddha-kanda-12-40, bala-kanda-1-26, ayodhya-kanda-49-13, ayodhya-kanda-46-1",20,"sundara-kanda-22-46, sundara-kanda-65-1, bala-kanda-1-59, sundara-kanda-65-2, kishkindha-kanda-55-22, kishkindha-kanda-55-21, sundara-kanda-19-23, kishkindha-kanda-40-70, ayodhya-kanda-33-30, ayodhya-kanda-75-4, ayodhya-kanda-49-13, sundara-kanda-18-32, ayodhya-kanda-54-12, sundara-kanda-65-3, bala-kanda-1-27, bala-kanda-1-26, ayodhya-kanda-54-2, bala-kanda-1-23, kishkindha-kanda-45-3, sundara-kanda-36-40"
What is the subject of the 'Kaccit Sarga' in Ayodhya Kanda?,The 'Kaccit Sarga' in Ayodhya Kanda refers to a chapter where King Dasharatha expresses his deep concern and anxiety over Rama's exile and the welfare of his son.,Sarga overview,T1,Detail: Rama questions Bharata on the principles of good governance using the format 'I hope you do...' (Kaccit).,"The 'Kaccit Sarga' in Ayodhya Kanda primarily deals with King Dasaratha's anguish and desolation following the exile of his son Rama. Dasaratha is seen desolate and anguished, withered by the sorrow over his son's departure, as described in the pale white chamber he is in. The wives of Dasaratha also express their sorrow through whispers, indicating the pervasive grief in the palace.","The 'Kaccit Sarga' in Ayodhya Kanda is about King Dasaratha's desolate and anguished state after the exile of his son Rama. The sarga describes how Sumantra entered the palace and saw the king in a pale white chamber, tormented by the sorrow of separation from Rama (Ayodhya Kanda 57.24). It also mentions the whispers and laments of Dasaratha's wives who were afflicted with the same sorrow (Ayodhya Kanda 57.20).",20,"ayodhya-kanda-57-24, ayodhya-kanda-57-20, ayodhya-kanda-64-79, ayodhya-kanda-9-32, bala-kanda-1-23, ayodhya-kanda-8-39, ayodhya-kanda-18-41, ayodhya-kanda-41-5, bala-kanda-3-14, ayodhya-kanda-40-51, ayodhya-kanda-13-6, ayodhya-kanda-59-20, ayodhya-kanda-44-24, ayodhya-kanda-59-19, yuddha-kanda-59-131, ayodhya-kanda-20-55, ayodhya-kanda-19-27, kishkindha-kanda-55-22, kishkindha-kanda-24-5, ayodhya-kanda-12-83",20,"ayodhya-kanda-57-24, ayodhya-kanda-57-20, ayodhya-kanda-64-79, ayodhya-kanda-9-32, bala-kanda-1-23, ayodhya-kanda-8-39, ayodhya-kanda-18-41, ayodhya-kanda-40-51, ayodhya-kanda-41-5, bala-kanda-3-14, ayodhya-kanda-44-24, ayodhya-kanda-20-55, ayodhya-kanda-59-20, ayodhya-kanda-19-27, ayodhya-kanda-59-19, kishkindha-kanda-55-22, yuddha-kanda-59-131, ayodhya-kanda-13-6, kishkindha-kanda-55-21, kishkindha-kanda-24-5"
In which section does Valmiki describe the origin of the Sloka meter?,"Valmiki describes the origin of the Sloka meter in the Bala Kanda, specifically in the context of his poetic composition following the sorrow of the krauncha bird's death.",Sarga overview,T1,"Location: Bala Kanda, Sarga 2 (The Krauncha bird incident).","In the second sarga of Bala Kanda, Valmiki describes the origin of the Sloka meter when he spontaneously composed a verse out of sorrow for a bird struck down by a hunter. This verse, known as a sloka, emerged as rhythmic, with equal syllables, and is stated to take no other form. Grief-stricken, Valmiki recited the sloka repeatedly.","According to the passages, the origin of the sloka meter is described in the Balakanda of the Ramayana. Sage Valmiki, grieved by the killing of a krauncha bird, composed the first sloka verse out of his sorrow. This sloka is described as having an equal number of syllables in each line, and being set to the rhythm of stringed instruments. Valmiki then went on to compose the entire Ramayana epic in this sloka form, including the history of Rama and Sita, and the killing of Ravana.",20,"bala-kanda-2-18, bala-kanda-2-29, bala-kanda-2-42, bala-kanda-2-14, bala-kanda-3-21, bala-kanda-38-24, bala-kanda-2-43, bala-kanda-2-27, bala-kanda-3-24, bala-kanda-55-28, bala-kanda-4-7, bala-kanda-63-26, bala-kanda-23-22, bala-kanda-31-24, bala-kanda-46-1, bala-kanda-3-35, bala-kanda-72-25, bala-kanda-2-13, bala-kanda-66-20, bala-kanda-4-31",15,"bala-kanda-2-18, bala-kanda-2-29, bala-kanda-2-14, bala-kanda-2-42, bala-kanda-3-21, bala-kanda-2-13, bala-kanda-31-24, bala-kanda-63-26, bala-kanda-38-24, bala-kanda-2-43, bala-kanda-23-22, bala-kanda-2-27, bala-kanda-4-7, bala-kanda-3-2, bala-kanda-72-25"
Did Rama kill Vali before or after meeting Hanuman?,"Rama killed Vali after meeting Hanuman. Hanuman, the devoted monkey god and messenger of Rama, first encountered Rama in the Kishkindha Kanda, where he offered his assistance before Vali's defeat.",Timeline sequencing,T1,Sequence: After.,"Rama met Hanuman before he killed Vali. Hanuman leapt from Rishyamuka to meet Rama and Lakshmana (Kishkindha Kanda 3.1) and led them to meet the king of monkeys (Kishkindha Kanda 4.33). The alliance between Rama and Sugriva, facilitated by Hanuman, led to their agreement to kill Vali (Sundara Kanda 35.49). Subsequently, Rama killed Vali as outlined in Kishkindha Kanda 16.32 and Kishkindha Kanda 11.71.",Rama met Hanuman before killing Vali. Hanuman first met Rama and Lakshmana after leaping from Mount Rishyamuka (Kishkindha Kanda 3.1) and then led them to Sugriva (Kishkindha Kanda 4.33). Rama later killed Vali during his encounter with Sugriva (Kishkindha Kanda 16.32).,25,"yuddha-kanda-116-6, kishkindha-kanda-11-71, kishkindha-kanda-11-68, kishkindha-kanda-16-32, kishkindha-kanda-64-15, kishkindha-kanda-4-33, kishkindha-kanda-17-10, yuddha-kanda-1-14, kishkindha-kanda-3-1, bala-kanda-1-86, sundara-kanda-35-52, kishkindha-kanda-3-3, yuddha-kanda-95-17, yuddha-kanda-82-8, sundara-kanda-48-45, sundara-kanda-54-45, yuddha-kanda-81-25, kishkindha-kanda-2-29, kishkindha-kanda-11-29, sundara-kanda-57-11, kishkindha-kanda-18-60, sundara-kanda-35-49, yuddha-kanda-117-1, sundara-kanda-57-12, kishkindha-kanda-5-1",25,"yuddha-kanda-116-6, kishkindha-kanda-11-71, kishkindha-kanda-11-68, kishkindha-kanda-16-32, kishkindha-kanda-64-15, kishkindha-kanda-4-33, kishkindha-kanda-17-10, yuddha-kanda-1-14, kishkindha-kanda-3-1, sundara-kanda-35-52, bala-kanda-1-86, kishkindha-kanda-3-3, yuddha-kanda-95-17, yuddha-kanda-82-8, sundara-kanda-48-45, sundara-kanda-54-45, yuddha-kanda-81-25, kishkindha-kanda-2-29, kishkindha-kanda-11-29, sundara-kanda-57-11, kishkindha-kanda-18-60, sundara-kanda-35-49, yuddha-kanda-117-1, sundara-kanda-57-12, kishkindha-kanda-5-1"
